	reference	query	distance	pvalue	matching-hashes	percentage
1691	JAFFQY01_Roseococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1692	JAFKRG01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1693	JAFKRH01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1694	JAFKRI01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1706	JAFMKL01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1695	JAFKRJ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1697	JAFLCJ01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1699	JAFMFG01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1700	JAFMFX01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1701	JAFMGD01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1702	JAFMGK01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1703	JAFMGL01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1704	JAFMGO01_Vulcanococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1696	JAFKRK01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2014	MRCG01_Phormidium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1818	JFMQ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1820	JFMS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1943	LNAA02_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
1944	LNDC01_Geitlerinema	./CENA71.fasta	1.0	1.0	0/1000	0.0
1946	LSYZ01_Leptolyngbya	./CENA71.fasta	1.0	1.0	0/1000	0.0
1947	LSZA01_Phormidium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1948	LTEC02_Aphanizomenon	./CENA71.fasta	1.0	1.0	0/1000	0.0
1949	LUBZ01_Cylindrospermopsis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1951	LUGL01_Elainella	./CENA71.fasta	1.0	1.0	0/1000	0.0
1942	LMVE01_Cylindrospermopsis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1954	LUPS01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1956	LUPU01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1957	LUPV01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1958	LURJ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1959	LURK01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1960	LVHK01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1961	LVHL01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1962	LVHM01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1955	LUPT01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1963	LVHN01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1940	LJZT01_Phormidium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1938	LJOY01_Aphanizomenon	./CENA71.fasta	1.0	1.0	0/1000	0.0
1905	JYON01_Aliterella	./CENA71.fasta	1.0	1.0	0/1000	0.0
1906	LADK01_Trichodesmium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1920	LAMW01_Trichodesmium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1921	LATL02_Limnoraphis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1922	LAYT01_Arthrospira	./CENA71.fasta	1.0	1.0	0/1000	0.0
1923	LFEK01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1924	LGSU01_Hydrocoleum	./CENA71.fasta	1.0	1.0	0/1000	0.0
1939	LJZR01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1925	LICO01_Cyanobacterium	./CENA71.fasta	1.0	1.0	0/1000	0.0
2292	QBWM01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1929	LIUQ01_Planktothricoides	./CENA71.fasta	1.0	1.0	0/1000	0.0
1931	LJOQ01_Anabaena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1932	LJOS01_Anabaena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1933	LJOT01_Anabaena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1934	LJOU01_Anabaena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1937	LJOX01_Aphanizomenon	./CENA71.fasta	1.0	1.0	0/1000	0.0
1926	LIRE01_Pseudanabaena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1904	JYFQ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1964	LVHO01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1966	LVHQ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1992	MKGP02_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1993	MKZR01_Moorena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1994	MKZS01_Moorena	./CENA71.fasta	1.0	1.0	0/1000	0.0
1995	MLAW01_Roseofilum	./CENA71.fasta	1.0	1.0	0/1000	0.0
1996	MNHI01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
1997	MNIV01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
1999	MNYZ01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
1991	MJGC01_Desertifilum	./CENA71.fasta	1.0	1.0	0/1000	0.0
2000	MNZA01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2002	MOLZ01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2003	MPMK01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2004	MPPI01_Phormidesmis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2006	MRBY01_Limnothrix	./CENA71.fasta	1.0	1.0	0/1000	0.0
2009	MRCB01_Hydrococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2010	MRCC01_Chroogloeocystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2011	MRCD01_Calothrix	./CENA71.fasta	1.0	1.0	0/1000	0.0
2001	MOLN01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1965	LVHP01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1990	MDZH01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1988	MCIH01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1967	LVHR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1968	LVHS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1969	LVHT01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1970	LVHU01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1971	LVHV01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1973	LWHC01_Cyanobacterium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1974	LWRO01_Geitlerinema	./CENA71.fasta	1.0	1.0	0/1000	0.0
1989	MDVL01_Euhalothece	./CENA71.fasta	1.0	1.0	0/1000	0.0
1977	LXQD01_Nostoc	./CENA71.fasta	1.0	1.0	0/1000	0.0
1980	LYXA01_Cylindrospermopsis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1981	LYXM01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1982	LZQD01_Trichormus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1983	MBQX01_Cylindrospermopsis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1984	MBQY01_Cylindrospermopsis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1986	MBRE01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
1987	MBRF01_Limnothrix	./CENA71.fasta	1.0	1.0	0/1000	0.0
1979	LXYR01_Phormidesmis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1819	JFMR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1903	JXYX01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
1901	JXQG01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1841	JFNN01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1842	JFNO01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1843	JFNP01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1844	JFNQ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1845	JFNR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1846	JFNS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1847	JFNT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1840	JFNM01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1848	JFNU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1850	JFNW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1851	JFNX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1852	JFNY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1853	JFNZ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1854	JFOA01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1855	JFOB01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1856	JFOC01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1849	JFNV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1857	JFOD01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1839	JFNL01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1837	JFNJ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1821	JFMT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1822	JFMU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1823	JFMV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1824	JFMW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1825	JFMX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1826	JFMY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1827	JFMZ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1838	JFNK01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1828	JFNA01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1830	JFNC01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1831	JFND01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1832	JFNE01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1833	JFNF01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1834	JFNG01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1835	JFNH01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1836	JFNI01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1829	JFNB01_UNVERIFIED_ORG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1902	JXUO01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1858	JFOE01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1861	JMIX01_Erythrobacter	./CENA71.fasta	1.0	1.0	0/1000	0.0
1882	JNAY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1883	JNAZ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1884	JNBA01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1885	JNBB01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1886	JNBC01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1887	JNBD01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1888	JNBE01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1881	JNAX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1889	JPSP01_Atelocyanobacterium	./CENA71.fasta	1.0	1.0	0/1000	0.0
1892	JSDP01_Aphanizomenon	./CENA71.fasta	1.0	1.0	0/1000	0.0
1893	JSUH01_Kocuria	./CENA71.fasta	1.0	1.0	0/1000	0.0
1894	JTCM02_Hassallia	./CENA71.fasta	1.0	1.0	0/1000	0.0
1895	JTHE02_Lyngbya	./CENA71.fasta	1.0	1.0	0/1000	0.0
1896	JTJC03_Scytonema	./CENA71.fasta	1.0	1.0	0/1000	0.0
1897	JTJD02_Aphanocapsa	./CENA71.fasta	1.0	1.0	0/1000	0.0
1900	JXDI01_Pseudomonas	./CENA71.fasta	1.0	1.0	0/1000	0.0
1890	JQFA01_Leptolyngbya	./CENA71.fasta	1.0	1.0	0/1000	0.0
1860	JJML01_Neosynechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1880	JNAW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1878	JNAU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1862	JMKF01_Leptolyngbya	./CENA71.fasta	1.0	1.0	0/1000	0.0
1863	JMRP01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
1864	JNAG01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1865	JNAH01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1866	JNAI01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1867	JNAJ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1868	JNAK01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1879	JNAV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1869	JNAL01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1871	JNAN01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1872	JNAO01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1873	JNAP01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1874	JNAQ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1875	JNAR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1876	JNAS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1877	JNAT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
1870	JNAM01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2293	QBWN01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2331	QBZF01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2295	QBWT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2819	QQWD01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2820	QQWE01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2821	QUBX01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2822	QVFV01_Halomicronema	./CENA71.fasta	1.0	1.0	0/1000	0.0
2823	QXHD01_Leptolyngbyaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2824	QZCE01_Leptolyngbyaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2825	RCBY01_Okeania	./CENA71.fasta	1.0	1.0	0/1000	0.0
2826	RCBZ01_Okeania	./CENA71.fasta	1.0	1.0	0/1000	0.0
2827	RDXB01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2818	QQWC01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2828	RDXC01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2830	RDXH01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2831	RDXJ01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2832	RDXL01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2833	RDXR01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2834	RDXU01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2835	RDXV01_Nostocales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2836	RDXX01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2837	RDYB01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2838	RDYH01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2829	RDXF01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2817	QQWB01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2816	QQWA01_Microcystis	./CENA71.fasta	1.0	1.0	0/1000	0.0
2815	QOPT01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2790	QCVQ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2791	QCVR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2792	QCVS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2793	QCVT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2794	QCVU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2795	QCVV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2796	QCVW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2797	QCVX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2798	QCVY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2799	QCVZ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2800	QCWF01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2801	QHKA01_Nostoc	./CENA71.fasta	1.0	1.0	0/1000	0.0
2802	QJUE01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2803	QJUF01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2805	QLZQ01_Planococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2809	QOPN01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2810	QOPO01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2811	QOPP01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2812	QOPQ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2813	QOPR01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2814	QOPS01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2839	RDYI01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2789	QCVP01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2840	RDYJ01_Nostocales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2842	RDYN01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2869	RFFR01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2870	RFFV01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2871	RFHR01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2872	RFIF01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2873	RFIT01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2874	RFLH01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2875	RFMH01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2876	RFPK01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2877	RFQT01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2868	RFFC02_Hormoscilla	./CENA71.fasta	1.0	1.0	0/1000	0.0
2878	RFQU01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2880	RGAE01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2881	RGAV01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2882	RGBH01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2883	RGBQ01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2884	RGDS01_Cyanobacteria	./CENA71.fasta	1.0	1.0	0/1000	0.0
2885	RGDV01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2886	RGDX01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2887	RGFF01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2888	RGFU01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2879	RFZC01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2867	REEX01_Arthrospira	./CENA71.fasta	1.0	1.0	0/1000	0.0
2866	REEV01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2865	REDN01_Phormidium	./CENA71.fasta	1.0	1.0	0/1000	0.0
2843	RDYR01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2844	RDYS01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2845	RDYZ01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2846	RDZA01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2847	RDZB01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2848	RDZK01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2849	RDZO01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2850	RDZU01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2851	REAA01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2852	REAF01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2853	REAI01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2854	REAK01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2855	REAO01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2856	REAP01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2857	REAX01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2858	REAY01_Oscillatoriales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2860	REBM01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2861	RECH01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2862	RECJ01_MAG:	./CENA71.fasta	1.0	1.0	0/1000	0.0
2863	RECR01_Gloeocapsa	./CENA71.fasta	1.0	1.0	0/1000	0.0
2864	RECT01_Spirulina	./CENA71.fasta	1.0	1.0	0/1000	0.0
2841	RDYK01_Nostocales	./CENA71.fasta	1.0	1.0	0/1000	0.0
2889	RGIN01_Synechococcaceae	./CENA71.fasta	1.0	1.0	0/1000	0.0
2788	QCVO01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2786	QCVM01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2717	QCSV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2718	QCSW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2719	QCSX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2720	QCSY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2721	QCSZ01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2722	QCTA01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2723	QCTB01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2724	QCTC01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2725	QCTD01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2716	QCSU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2726	QCTE01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2728	QCTG01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2729	QCTH01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2730	QCTI01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2731	QCTJ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2732	QCTK01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2733	QCTL01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2734	QCTM01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2735	QCTN01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2736	QCTO01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2727	QCTF01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2715	QCST01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2714	QCSS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2713	QCSR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2692	QCRR01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2693	QCRS01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2694	QCRT01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2695	QCRU01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2696	QCRV01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2697	QCRW01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2698	QCRX01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2699	QCRY01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2700	QCSB01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2701	QCSC01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2702	QCSD01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2703	QCSE01_Prochlorococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2704	QCSI01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2705	QCSJ01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2706	QCSK01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
2707	QCSL01_Synechococcus	./CENA71.fasta	1.0	1.0	0/1000	0.0
